Category,Phrase
Green Flag,"You can always tell me if something is bothering you."
Green Flag,"It's important to share things with people you trust."
Green Flag,"If you’re uncomfortable, please let someone know."
Green Flag,"You should tell your parents if something doesn’t feel right."
Green Flag,"Always feel free to talk about your feelings."
Green Flag,"You can ask for help whenever you need it."
Green Flag,"There’s nothing wrong with speaking up."
Green Flag,"It's okay to talk about anything that worries you."
Green Flag,"You can tell me or any adult if something's on your mind."
Green Flag,"Never be afraid to share things with trusted adults."
Green Flag,"Your feelings are valid, and it's good to express them."
Green Flag,"If anyone says something that makes you uncomfortable, tell an adult."
Green Flag,"Trustworthy people respect your feelings and boundaries."
Green Flag,"You can trust people who encourage you to be open."
Green Flag,"I'm here to listen if you need to talk."
Green Flag,"It’s good to share with people who care about you."
Green Flag,"People who care about you will listen to your concerns."
Green Flag,"If you’re ever unsure, it’s okay to ask questions."
Green Flag,"Safe people will always respect your choices."
Green Flag,"You don’t have to keep secrets from those who care about you."
Green Flag,"You have the right to feel safe wherever you are."
Green Flag,"If someone says something strange, tell someone you trust."
Green Flag,"No one should ever make you feel uncomfortable."
Green Flag,"It's okay to say 'no' if something feels wrong."
Green Flag,"You should always feel safe and respected."
Green Flag,"Only share what you’re comfortable with."
Green Flag,"Healthy friendships respect each other's space."
Green Flag,"It's okay to set boundaries that make you feel safe."
Green Flag,"It’s good to know your boundaries and to voice them."
Green Flag,"You have the right to tell someone if you don’t like something."
Green Flag,"I'm proud of you for speaking up."
Green Flag,"It’s brave to share how you feel."
Green Flag,"Your voice matters, and people want to hear it."
Green Flag,"Telling someone you trust is always a good choice."
Green Flag,"You’re strong for standing up for yourself."
Green Flag,"It’s great that you feel comfortable sharing with me."
Green Flag,"You have the right to ask for help anytime."
Green Flag,"You did the right thing by speaking up."
Green Flag,"I appreciate your honesty."
Green Flag,"Thank you for trusting me with your thoughts."
Green Flag,"It’s always good to be open with trusted people."
Green Flag,"Respectful friends make you feel comfortable and valued."
Green Flag,"A good friend will never make you feel uneasy."
Green Flag,"You can count on people who respect your feelings."
Green Flag,"Friends who care for you will always listen."
Green Flag,"You should only do things that make you feel safe."
